lat;lon;elemnt;id;official_name;ref:CIS_JR
48.9359172;14.4046415;node;3403844322;Homole,Nové Homole;9311
48.9310865;14.3927136;node;7399482599;Homole,Nové Homole,Korosecký Dvůr;49164
48.9309824;14.3932483;node;3403844323;Homole,Nové Homole,Korosecký Dvůr;49164
48.9087498;14.3261214;node;7302121081;Křemže,Mříčí;16798
48.9088638;14.3262837;node;7302121080;Křemže,Mříčí;16798
49.4882774;13.9536343;node;6666002309;Uzeničky;37935
49.4882584;13.9538126;node;10689847285;Uzeničky;37935
49.4733315;13.9597740;node;3139386950;Uzenice;37934
49.4733963;13.9596605;node;6666002069;Uzenice;37934
49.4631615;13.9645367;node;10689847282;Myštice,Nevželice;22392
49.4632301;13.9645767;node;10689847284;Myštice,Nevželice;22392
49.4572648;13.9798277;node;6666001755;Myštice,Kožlí;
49.4572918;13.9797347;node;6666001756;Myštice,Kožlí;
49.4696727;13.9877243;node;6666002003;Myštice,Svobodka;
48.9536562;14.2086647;node;4418950060;Brloh,Jaronín;2724
48.9351282;14.2351255;node;9382321174;Brloh,,u rybníka;2721
48.9351775;14.2352730;node;9382321175;Brloh,,u rybníka;2721
48.8057585;14.3142894;node;775373934;Český Krumlov,Tavírna;4986
49.0797997;13.9903612;node;10691376426;Vlachovo Březí,Chocholatá Lhota;50296
49.2129212;14.7758331;node;10687627257;Doňov;6963
49.2129555;14.7762995;node;10687627258;Doňov;6963
49.2081604;14.7946720;node;10687627256;Záhoří,,rozc.1.0;41254
49.2082176;14.7938719;node;10687627255;Záhoří,,rozc.1.0;41254
49.1981659;14.8206930;node;10687627252;Pleše,,host.;26859
49.1983833;14.8205786;node;10687627254;Pleše,,host.;26859
49.1729981;14.8189513;node;5983584405;Kardašova Řečice,Nítovice;13983
49.1624291;14.8307812;node;5983584570;Kardašova Řečice,Řehořinky;13984
49.1832747;14.8900869;node;5983584507;Pluhův Žďár,Plasná;26918
49.2493242;14.8840915;node;2465854991;Pluhův Žďár,Červená Lhota;26912
49.2522110;14.8929530;node;301770128;Pluhův Žďár,Jižná,rozc.0.8;26915
49.2793166;14.9460974;node;9297342538;Světce,,rozc.Rosička 1.2;
