lat;lon;official_name;name;ref:CIS_JR;ref;bus;public_transport;count;id;local_ref
49.5160534;14.0365144;"""Mirovice, nám.""";"""Mirovice, náměstí""";;;yes;platform;;4737882458;2;10;10;10;10;10;10;10;10
49.5160388;14.0366940;"""Mirovice, nám.""";"""Mirovice, náměstí""";;;yes;platform;;10689846369;3;10;10;10;10;10;10;10;10
49.4148298;14.6861324;;"""Tábor, Brisk a. s.""";;;yes;platform;;3649979510;2;10;10;10;10
49.4149860;14.6862050;;"""Tábor, Brisk a. s.""";;;yes;platform;;3649979511;1;10;10;10;10
49.4917145;14.3638716;"""Zhoř, Zbislav, rozc. 0.5""";"""Zhoř, Zbislav, rozcestí 0.5""";;;yes;platform;;10689846318;A;10;10;10;10
49.4917526;14.3640537;"""Zhoř, Zbislav, rozc. 0.5""";"""Zhoř, Zbislav, rozcestí 0.5""";;;yes;platform;;10689846320;B;10;10;10;10
49.5132256;14.3593302;"""Chyšky, Hněvanice, rozc. Hrazánky 1.4""";"""Chyšky, Hněvanice, rozcestí Hrazánky 1.4""";;;yes;platform;;10689846315;B;10;10;10;10
49.5130997;14.3591700;"""Chyšky, Hněvanice, rozc. Hrazánky 1.4""";"""Chyšky, Hněvanice, rozcestí Hrazánky 1.4""";;;yes;platform;;10689846319;A;10;10;10;10
49.5241850;14.3544890;"""Hrazany, Hrazánky, rozc. 1.7""";"""Hrazany, Hrazánky, rozcestí 1.7""";;;yes;platform;;9811666590;A;10;10;10;10
48.9768889;14.4779616;;Poliklinika Sever;;;yes;platform;;3394321655;1;10;10;10;10
48.9772691;14.4779268;;Poliklinika Sever;;;yes;platform;;1226765696;3;10;10;10;10
48.9775078;14.4762057;;Poliklinika Sever;;;yes;platform;;3394321647;4;10;10;10;10
49.3648780;14.0544816;;Předotice;;;yes;platform;;5514480226;B;10;10
49.3646175;14.0542904;;Předotice;;;yes;platform;;5514480225;A;10;10
48.7609628;14.7336082;;Horní Stropnice;;1;yes;platform;;2422417151;1;10;10
49.4948464;14.2312651;"""Kostelec n. Vlt., Zahrádka, rozc.""";"""Kostelec nad Vltavou, Zahrádka, rozcestí""";;;yes;platform;;10689846342;A;10;10
49.4928398;14.2267952;"""Kostelec n. Vlt., Zahrádka""";"""Kostelec nad Vltavou, Zahrádka""";;;yes;platform;;10689846339;A;10;10;10;10
49.5013352;14.2121573;"""Kostelec n. Vlt., U rybníka""";"""Kostelec nad Vltavou, U rybníka""";;;yes;platform;;10689846346;A;10;10;10;10
49.5466080;14.2475710;"""Kovářov, Zahořany, rozc. 1.1""";"""Kovářov, Zahořany, rozcestí 1.1""";;;yes;platform;;10689846354;B;10;10
49.5465546;14.2474957;"""Kovářov, Zahořany, rozc. 1.1""";"""Kovářov, Zahořany, rozcestí 1.1""";;;yes;platform;;10689846357;A;10;10
49.5538269;14.2395088;;"""Kovářov, Lašovice""";;;yes;platform;;10689846356;B;10;10;10;10
49.5536118;14.2394543;;"""Kovářov, Lašovice""";;;yes;platform;;10689846355;A;10;10
49.5617142;14.2323036;;"""Kovářov, Onen Svět samoty""";;;yes;platform;;10689846359;B;10;10;10;10
49.5616760;14.2322168;;"""Kovářov, Onen Svět samoty""";;;yes;platform;;10689846360;A;10;10;10;10
49.5571480;14.2304106;"""Kovářov, rozc. Klučenice 2.0""";"""Kovářov, rozcestí Klučenice 2.0""";;;yes;platform;;10689846358;B;10;10;10;10
